"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","198609","2.227","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198610","2.151","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198611","2.314","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198612","2.464","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198613","33.021","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198701","3.039","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198702","2.568","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198703","2.923","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198704","3.092","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198705","3.467","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198706","3.322","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198707","2.933","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198708","2.459","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198709","2.221","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198710","2.146","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198711","2.308","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198712","2.458","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198713","32.936","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198801","3.011","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198802","2.544","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198803","2.896","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198804","3.064","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198805","3.436","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198806","3.292","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198807","2.906","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198808","2.437","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198809","2.201","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198810","2.126","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198811","2.287","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198812","2.436","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198813","32.635","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198901","2.242","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198902","1.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198903","2.426","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198904","2.579","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198905","3.005","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198906","2.773","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198907","2.429","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198908","2.163","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198909","2.027","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198910","2.151","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198911","2.27","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198912","2.338","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198913","28.396","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199001","2.573","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199002","2.667","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199003","3.061","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199004","2.806","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199005","2.965","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199006","3.049","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
